                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                0.82618,                0.41883,                0.83653,                0.70448,                0.68745,                0.65064,                0.36352,                 1.3235,                 1.3391,                 1.0455,              0.0052876,              0.0052876,              0.0052876
                    121,                0.82348,                 0.4152,                0.83766,                0.68746,                0.71553,                0.64475,                0.36667,                 1.3078,                 1.3009,                 1.0365,               0.005248,               0.005248,               0.005248
                    122,                  0.823,                0.41805,                0.83617,                0.73223,                0.68306,                0.64736,                0.36021,                 1.3191,                 1.2997,                  1.038,              0.0052084,              0.0052084,              0.0052084
                    123,                0.81289,                0.41328,                0.83498,                0.70717,                0.70039,                0.64517,                 0.3701,                 1.3218,                 1.2906,                 1.0435,              0.0051688,              0.0051688,              0.0051688
                    124,                0.81587,                0.41073,                0.83536,                0.73907,                0.65591,                0.64951,                 0.3673,                 1.3219,                  1.318,                 1.0416,              0.0051292,              0.0051292,              0.0051292
                    125,                0.80646,                0.40995,                0.83579,                0.75585,                0.67263,                0.66267,                0.37116,                 1.3131,                  1.282,                 1.0432,              0.0050896,              0.0050896,              0.0050896
                    126,                0.81911,                0.41684,                0.83569,                0.73587,                0.68935,                0.66704,                0.37014,                 1.3273,                 1.2717,                 1.0482,                0.00505,                0.00505,                0.00505
                    127,                 0.8134,                0.40988,                0.83657,                0.74186,                0.68561,                0.65652,                 0.3694,                 1.3164,                 1.3362,                 1.0443,              0.0050104,              0.0050104,              0.0050104
                    128,                0.79987,                0.40642,                0.83387,                0.74467,                 0.6568,                0.63438,                0.36314,                  1.311,                 1.3054,                 1.0452,              0.0049708,              0.0049708,              0.0049708
                    129,                0.80316,                0.40623,                 0.8327,                0.74387,                0.67698,                0.65493,                0.37223,                 1.2978,                 1.3075,                 1.0389,              0.0049312,              0.0049312,              0.0049312
                    130,                0.80212,                0.40454,                0.83356,                0.73128,                 0.6827,                 0.6528,                0.36939,                 1.3089,                 1.3068,                 1.0448,              0.0048916,              0.0048916,              0.0048916
                    131,                0.78815,                0.40437,                0.83451,                0.72091,                 0.7033,                0.66149,                0.36669,                 1.3199,                 1.3236,                 1.0525,               0.004852,               0.004852,               0.004852
                    132,                0.78921,                0.40221,                0.83305,                0.73654,                0.68626,                0.66013,                0.36906,                 1.3216,                 1.3169,                  1.051,              0.0048124,              0.0048124,              0.0048124
                    133,                0.78926,                0.40057,                0.83374,                0.70229,                0.69905,                0.64684,                0.36405,                  1.321,                 1.3115,                 1.0485,              0.0047728,              0.0047728,              0.0047728
                    134,                0.78215,                0.39793,                0.83135,                0.74531,                0.65781,                0.64944,                0.37043,                 1.3072,                 1.3193,                 1.0439,              0.0047332,              0.0047332,              0.0047332
                    135,                0.78658,                0.39982,                0.83077,                0.67486,                0.69403,                0.63382,                0.36551,                 1.3142,                 1.3143,                 1.0516,              0.0046936,              0.0046936,              0.0046936
                    136,                0.78096,                0.40026,                0.83327,                0.76401,                0.65441,                0.66168,                 0.3734,                 1.3106,                 1.3008,                 1.0497,               0.004654,               0.004654,               0.004654
                    137,                0.78475,                0.39973,                0.83244,                0.72155,                0.66651,                0.64482,                0.36484,                 1.3163,                 1.3028,                 1.0507,              0.0046144,              0.0046144,              0.0046144
                    138,                0.77628,                 0.3968,                0.83117,                0.70849,                0.67973,                0.64048,                0.36718,                 1.3123,                 1.3231,                 1.0525,              0.0045748,              0.0045748,              0.0045748
                    139,                0.77596,                0.39699,                0.83075,                0.70206,                0.70173,                 0.6533,                0.36991,                 1.3106,                  1.307,                 1.0488,              0.0045352,              0.0045352,              0.0045352
                    140,                  0.777,                 0.3961,                0.83158,                0.71493,                0.70235,                0.65294,                0.36985,                 1.3176,                 1.3181,                 1.0463,              0.0044956,              0.0044956,              0.0044956
                    141,                0.76507,                0.39236,                0.82926,                0.71963,                 0.6932,                0.64929,                0.36967,                 1.2986,                 1.3125,                 1.0415,               0.004456,               0.004456,               0.004456
                    142,                0.75741,                0.38867,                 0.8278,                0.72591,                 0.6641,                0.63045,                0.36527,                 1.3142,                 1.3106,                 1.0494,              0.0044164,              0.0044164,              0.0044164
                    143,                0.76514,                0.39311,                0.83066,                0.73661,                0.66643,                0.64248,                0.36999,                 1.3099,                 1.3024,                 1.0447,              0.0043768,              0.0043768,              0.0043768
                    144,                0.75269,                0.38725,                0.82819,                0.73762,                0.66527,                0.65124,                0.36906,                 1.3139,                 1.3249,                 1.0483,              0.0043372,              0.0043372,              0.0043372
                    145,                0.75734,                0.38873,                0.82799,                0.75627,                0.67898,                0.65888,                 0.3728,                 1.3076,                 1.3192,                 1.0468,              0.0042976,              0.0042976,              0.0042976
                    146,                0.76587,                0.38946,                0.82926,                0.72727,                0.68828,                0.65425,                0.37199,                 1.3057,                 1.2976,                 1.0458,               0.004258,               0.004258,               0.004258
                    147,                0.75052,                0.38469,                0.82832,                0.76197,                0.68066,                0.66615,                0.37385,                 1.3143,                 1.3056,                 1.0471,              0.0042184,              0.0042184,              0.0042184
                    148,                0.75035,                0.38419,                0.82736,                0.73009,                0.69184,                 0.6552,                0.37526,                 1.3127,                 1.3175,                 1.0477,              0.0041788,              0.0041788,              0.0041788
                    149,                0.75592,                0.38578,                0.82871,                 0.7553,                0.67427,                0.65594,                0.36788,                 1.3101,                 1.2924,                 1.0461,              0.0041392,              0.0041392,              0.0041392
                    150,                 0.7486,                0.38354,                0.82621,                0.73353,                0.67416,                0.65823,                0.37134,                 1.3073,                 1.3407,                 1.0515,              0.0040996,              0.0040996,              0.0040996
